Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Substance,Significant,What Happened Category
INC2007-097,Release of Substance,01/02/2008,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2008-016,Release of Substance,02/23/2008,Beiseker,Alberta,Foothills Pipe Lines Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2008-056,Release of Substance,06/05/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Equipment Failure
INC2008-067,Release of Substance,07/06/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Crude Oil - Synthetic,No,Incorrect Operation
INC2008-075,Release of Substance,07/23/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Diesel Fuel,No,Equipment Failure
INC2008-123,Fire,12/17/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2009-039,Release of Substance,05/07/2009,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2009-041,Release of Substance,05/11/2009,Valleyview,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2009-048,Release of Substance,05/27/2009,Wandering River,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2009-049,Release of Substance,06/03/2009,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2009-058,"Fire, Release of Substance",07/05/2009,Hanna,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,External Interference
INC2009-063,Release of Substance,07/15/2009,Smokey Lake,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2009-065,Fire,07/16/2009,Wainwright,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2009-066,"Fire, Release of Substance",07/20/2009,Hay River,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Corrosion and Cracking
INC2009-068,Release of Substance,07/21/2009,Crowsnest Pass,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,"Defect and Deterioration, Equipment Failure"
INC2009-075,Release of Substance,07/31/2009,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2009-076,Release of Substance,08/04/2009,Edson,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2009-086,Release of Substance,09/02/2009,Hanna,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
